rxcui,name,tty
204264,Biltricide,BN
2677574,Bimasone,BN
867598,Bimectin,BN
2121101,Bimectin Plus,BN
2668088,Bimzelx,BN
1248078,Binosto,BN
2118547,Bio-Kool,BN
1094904,Bio-Mycin,BN
215681,Bio-Statin,BN
1487157,Bioease Pain Relieving Cold Therapy,BN
1043229,Biofreeze,BN
1247273,BioGaia,BN
203831,Biolon,BN
215687,Biomox,BN
1088214,Bion Tears,BN
607707,Bionect,BN
151441,Biorphen,BN
404894,Biothrax,BN
995842,Biotussin,BN
215693,Bisac-Evac,BN
215695,Bismarex,BN
1049296,Bismusal,BN
1364424,Bivigam,BN
2699596,Bizengri,BN
2706353,Bkemv,BN
215700,Black Draught,BN
2387839,Blenrep,BN
215702,Bleph-10,BN
215703,Blephamide,BN
1597263,Blincyto,BN
2705817,Blink Dry Eye,BN
1094099,Blink Tears,BN
215705,Blis-To-Sol,BN
215706,Blis-To-Sol Powder,BN
1145957,Blister Armour,BN
1429278,Bloxiverz,BN
1426269,Blu-Kote,BN
1249575,Bluemax,BN
2709219,Blujepa,BN
318132,BOIL-EASE,BN
2717544,Bomyntra,BN
2729314,Boncresa,BN
1694,Bonine,BN
541684,Boniva,BN
1999652,Bonjesta,BN
2671055,Bonqat,BN
2716404,Bonsity,BN
583411,Boostrix,BN
1421548,Booty Goo,BN
1050088,Boroleum,BN
2693992,Boruzu,BN
2725930,Bosaya,BN
1307625,Bosulif,BN
203279,Botox,BN
604010,Botox Cosmetic,BN
1423941,Bovadine,BN
1435875,BovaPro,BN
807761,BP 10-Wash,BN
806608,BP Cleansing Wash,BN
1482991,Brace Relief,BN
2049112,Braftovi,BN
1538105,Bravecto,BN
2679861,Bravecto Plus,BN
2714310,Brekiya,BN
2637860,Brenzavvy,BN
1539887,Breo,BN
151448,Brevibloc,BN
227282,Brevital,BN
2560221,Brexafemme,BN
2479141,Breyanzi,BN
2597666,Breyna,BN
2387325,Breztri,BN
1726993,Bridion,BN
1116636,Brilinta,BN
1922454,Brineura,BN
2721886,Brinsupri,BN
1430123,Brisdelle,BN
2626355,Briumvi,BN
1739750,Briviact,BN
2639023,Brixadi,BN
1543168,Broda Acne Spa,BN
215741,Bromfed DM,BN
1312950,Bromo Seltzer Antacid Pain Reliever,BN
1790142,Bromsite,BN
2475836,Bronchitol,BN
215760,Broncho Saline,BN
215766,Bronkaid,BN
2396444,Bronkaid Max,BN
215768,Brontex,BN
669390,Brovana,BN
804570,BroveX CB,BN
804585,Brovex PBC,BN
2262441,Brukinsa,BN
2678109,Bruselix,BN
2101711,Bryhali,BN
2716486,Brynovin,BN
806393,BSS Ophthalmic Solution,BN
1304967,Bucalsep,BN
2714174,Bucapsol,BN
702204,Buckley's Bedtime Formula,BN
1536152,Buckley's Cough Suppressant,BN
215770,Bufferin,BN
203538,Bumex,BN
1542391,Bunavail,BN
215777,Bupap,BN
215778,Buphenyl,BN
203840,Buprenex,BN
1088232,Burn Jel Plus,BN
203547,Buscopan,BN
154990,Buspar,BN
284676,Busulfex,BN
1310923,Butorphic,BN
904871,BuTrans,BN
629024,By Ache,BN
1242964,Bydureon,BN
604751,Byetta,BN
2383947,Byfavo,BN
2563984,Bylvay,BN
2360544,Bynfezia,BN
2602355,Byooviz,BN
2733658,Byqlovi,BN
751613,Bystolic,BN
1798282,Byvalson,BN
215794,C-Time,BN
2110610,Cablivi,BN
1790162,Cabometyx,BN
2668199,Cabtreo,BN
404914,Caduet,BN
2675321,Caelyx,BN
261469,Cafcit,BN
20027,Cafergot,BN
998701,Cal Gest,BN
1299812,Cal-Quick,BN
215810,Calaclear,BN
215811,Caladryl,BN
215812,Caladryl Clear,BN
794924,Calagel,BN
2174797,Calagel Reformulated Jun 2019,BN
215814,Calagesic,BN
203490,Calan,BN
215819,Calcet,BN
795480,Calcidol,BN
1013633,Calcitrene,BN
215840,Caldecort,BN
631232,Caldesene,BN
854184,Caldolor,BN
215844,Calgon Vesta,BN
794236,Calgonate,BN
1088421,Callergy Clear,BN
2680119,Calmera,BN
1091396,Calmicid,BN
1549713,Calmodrox,BN
1113711,Calmol,BN
1946477,Calmoseptine,BN
215849,Calphron,BN
2702493,Calprotect,BN
1986814,Calquence,BN
215850,Caltrate,BN
1244021,Caltrate Gummy Bites,BN
1372696,Caltrate Plus D,BN
858655,Cambia,BN
2595045,Camcevi,BN
284679,Campath,BN
215855,Campho-Phenique,BN
880397,Camphor Ice,BN
203652,Camptosar,BN
2600873,Camzyos,BN
2589077,Canalevia,BN
196493,Canasa,BN
282383,Cancidas,BN
1992038,Candee Caine,BN
2744799,Canibendan,BN
1010245,CanineAid,BN
2375708,Caniquell,BN
1812748,Canker Care,BN
1020429,Canker Complete,BN
1725070,Canker Cover,BN
1100904,Capacet,BN
2571992,Capaction,BN
284681,Capex,BN
2275608,Caplyta,BN
1114071,Caprelsa,BN
1919495,Caprieve,BN
880635,Capstar,BN
2686974,Capvaxive,BN
898523,Capzasin Quick Relief,BN
794241,Capzasin-HP,BN
215874,Capzasin-P,BN
285133,Carac,BN
227743,Carafate,BN
905391,Carbaglu,BN
215879,Carbatrol,BN
2021,Carbocaine,BN
1012782,Carbocaine with NeoCobefrin,BN
2730033,Carbzah,BN
2566854,Cardalis,BN
2730308,Cardamyst,BN
151490,Cardene,BN
203494,Cardizem,BN
196468,Cardura,BN
224950,Carmol,BN
284688,Carmol Scalp,BN
1088444,Carni Q-Gel Forte,BN
151494,Carnitor,BN
2707562,Carofenvet,BN
1943340,Carospir,BN
1314769,Carprieve,BN
1942501,Carprovet,BN
491095,Cartia,BN
496343,Cartilade,BN
2594782,Carvykti,BN
2671673,Casgevy,BN
151495,Casodex,BN
305064,Castellani Paint,BN
1085722,Castiva Cooling,BN
692727,Castiva Warming,BN
215916,Cataflam,BN
202941,Catapres,BN
477639,Caverject,BN
901611,Cayston,BN
2282002,Cefenil,BN
2185,Cefotan,BN
2110498,Cefpoderm,BN
2380349,Celadrin,BN
215927,Celebrex,BN
47847,Celestone Soluspan,BN
215928,Celexa,BN
152633,Cellcept,BN
284690,Cellugel,BN
225235,Celontin,BN
1242623,CEM-Urea,BN
215931,Cemill 1000,BN
404925,Centany,BN
636183,Ceo-Two,BN
2229,Cepacol,BN
806613,Cepacol Antibacterial Mouthwash,BN
804623,Cepacol Sore Throat from Post Nasal Drip,BN
858658,Cepacol Sore Throat Pain Relief,BN
1039252,Cepacol Sore Throat Plus Cough,BN
215946,Cepastat,BN
1872892,Cepastat Sore Throat & Cough,BN
704876,Ceprotin,BN
2055022,Cequa,BN
997606,CerAxon,BN
1547226,Cerdelga,BN
134860,Cerebyx,BN
867562,Cerenia,BN
84958,Cerezyme,BN
2675595,Ceritant,BN
215960,Cervidil,BN
385716,Cesamet,BN
95087,Cestex,BN
20604,Cetacaine,BN
1358830,Cetafen,BN
848957,Cetraxal,BN
284693,Cetrotide,BN
1044958,Chamois Glide,BN
636230,Chantix,BN
92128,CharcoCaps,BN
1251889,Chem-Star Recover,BN
215984,Chemet,BN
877414,Chenodal,BN
995869,Cheratussin,BN
1086680,Chew Q,BN
1011455,CHG Teat Dip,BN
1722360,China-Gel,BN
727489,Chirhostim,BN
202384,Chlor-Trimeton,BN
998279,ChloraPrep,BN
20772,Chloraseptic,BN
