code,description
Y11,"Ngộ độc và phơi nhiễm thuốc chống động kinh, an thần-gây ngủ, chống parkinson và hướng thần, không được xếp loại ở chỗ khác, không rõ ý đồ"
Z96.7,Sự có mặt dụng cụ cấy ghép xương và gân
Z96.8,Sự có mặt dụng cụ cấy ghép chức năng xác định khác
Z96.9,"Sự có mặt dụng cụ cấy ghép chức năng, không đặc hiệu"
Z97,Sự có mặt của các dụng cụ cấy ghép khác
Z97.0,Sự có mặt mắt giả
Z97.1,Sự có mặt của chi giả (toàn bộ) (một phần)
Z97.2,Sự có mặt của dụng cụ chỉnh hình răng (toàn bộ) (một phần)
Z97.3,Sự có mặt của mắt kính và thấu kính tiếp xúc
Z97.4,Sự có mặt của dụng cụ trợ thính bên ngoài
Z97.5,Sự có mặt của dụng cụ tránh thai (trong tử cung)
Z97.8,Sự có mặt của các dụng cụ xác định khác
Z98,Các tình trạng hậu phẫu thuật
Z98.0,Tình trạng nối tắt ruột và nối ruột
Z98.1,Tình trạng đóng cứng khớp
Z98.2,Sự có mặt dụng cụ dẫn lưu dịch não tủy
Z98.8,Các tình trạng hậu phẫu xác định khác
Z99,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, chưa được phân loại ở phần khác"
Z99.0,Phụ thuộc máy hút
Z99.1,Phụ thuộc máy thở
Z99.2,Phụ thuộc chạy thận nhân tạo
Z99.3,Phụ thuộc vào xe lăn
Z99.4,Lệ thuộc vào tim nhân tạo
Z99.8,Phụ thuộc vào các thiết bị và dụng cụ khác
Z99.9,Phụ thuộc vào thiết bị và dụng cụ không xác định
U04,Hội chứng suy hô hấp cấp tính nặng [SARS]
U04.9,"Hội chứng suy hô hấp cấp tính nặng [SARS], không đặc hiệu"
U06,Sử dụng mã U06 trong trường cấp cứu
U06.0,Sử dụng mã U06.0 trong cấp cứu
U06.1,Sử dụng mã U06.1 trong cấp cứu
U06.2,Sử dụng mã U06.2 trong cấp cứu
U06.3,Sử dụng mã U06.3 trong cấp cứu
U06.4,Sử dụng mã U06.4 trong cấp cứu
U06.5,Sử dụng mã U06.5 trong cấp cứu
U06.6,Sử dụng mã U06.6 trong cấp cứu
U06.7,Sử dụng mã U06.7 trong cấp cứu
U06.8,Sử dụng mã U06.8 trong cấp cứu
U06.9,Sử dụng mã U06.9 trong cấp cứu
U07,Sử dụng mã U07 trong cấp cứu
U07.0,Sử dụng mã U07.0 trong cấp cứu
U07.1,COVID-19 xác định (có kết quả xét nghiệm khẳng định SARS-CoV-2 dương tính)
H27.9,"Bệnh thể thủy tinh, không đặc hiệu"
H28,Đục thủy tinh thể và bệnh của thủy tinh thể khác trong các bệnh phân loại nơi khác
H28.0*,Đục thể thủy tinh do đái tháo đường (E10-E14 với ký tự thứ tư là .3†)
H28.1*,"Đục thể thủy tinh trong các bệnh nội tiết, dinh dưỡng và chuyển hóa khác"
H28.2*,Đục thể thủy tinh trong bệnh khác phân loại nơi khác
H28.8*,Bệnh khác của thể thủy tinh trong các bệnh phân loại nơi khác
H30,Viêm hắc võng mạc
H30.0,Viêm hắc võng mạc khu trú
H30.1,Viêm hắc võng mạc rải rác
H30.2,Viêm thể mi sau
H30.8,Bệnh viêm hắc võng mạc khác
H30.9,"Viêm hắc võng mạc, không đặc hiệu"
H31,Bệnh khác của hắc mạc
H31.0,Sẹo hắc võng mạc
H31.1,thoái hóa hắc mạc
H31.2,Loạn dưỡng hắc mạc di truyền
H31.3,Xuất huyết và rách hắc mạc
H31.4,Bong hắc mạc
H31.8,Bệnh xác định khác của hắc mạc
H31.9,"Bệnh hắc mạc, không đặc hiệu"
H32,Bệnh hắc võng mạc trong các bệnh phân loại nơi khác
H32*,Bệnh hắc võng mạc trong các bệnh phân loại nơi khác
H32.0*,Viêm hắc võng mạc trong bệnh nhiễm trùng và ký sinh trùng phân loại nơi khác
H32.8*,Bệnh hắc võng mạc khác trong các bệnh phân loại nơi khác
H33,Bong và rách võng mạc
H33.0,Bong võng mạc có vết rách
H33.1,Tách lớp võng mạc và nang võng mạc
H33.2,Bong võng mạc thanh dịch
H33.3,Vết rách võng mạc không có bong
H33.4,Bong võng mạc do kéo
H33.5,Bong võng mạc khác
H34,Tắc mạch võng mạc
H34.0,Tắc động mạch võng mạc thoáng qua
H34.1,Tắc động mạch trung tâm võng mạc
H34.2,Tắc động mạch võng mạc khác
H34.8,Các tắc mạch võng mạc khác
H34.9,"Tắc mạch võng mạc, không đặc hiệu"
H35,Các bệnh võng mạc khác
H35.0,Bệnh lý võng mạc sơ phát và biến đổi mạch máu võng mạc
H35.1,Bệnh lý võng mạc của trẻ đẻ non
H35.2,Bệnh lý võng mạc tăng sinh khác
T29,Bỏng và ăn mòn nhiều vùng cơ thể
T29.0,Bỏng nhiều vùng độ chưa xác định
T29.1,"Bỏng nhiều vùng, không hơn bỏng độ một đã đề cập"
T29.2,"Bỏng nhiều vùng, không hơn bỏng độ hai đã đề cập"
T29.3,"Bỏng nhiều vùng, ít nhất có một bỏng độ ba đã đề cập"
T29.4,Ăn mòn nhiều vùng độ chưa xác định
T29.5,"Ăn mòn nhiều vùng, không hơn ăn mòn độ một đã đề cập"
T29.6,"Ăn mòn nhiều vùng, không hơn ăn mòn độ hai đã đề cập"
T29.7,"Ăn mòn nhiều vùng, ít nhất có một ăn mòn độ ba đã đề cập"
T30,"Bỏng và ăn mòn, vùng cơ thể chưa xác định"
T30.0,"Bỏng vùng cơ thể chưa xác định, độ chưa xác định"
T30.1,"Bỏng độ một, vùng cơ thể chưa xác định"
T30.2,"Bỏng độ hai, vùng cơ thể chưa xác định"
T30.3,"Bỏng độ ba, vùng cơ thể chưa xác định"
T30.4,"Ăn mòn vùng cơ thể chưa xác định, độ chưa xác định"
T30.5,"Ăn mòn độ một, vùng cơ thể chưa xác định khác"
T30.6,"Ăn mòn độ hai, vùng cơ thể chưa xác định"
T30.7,"Ăn mòn độ ba, vùng cơ thể chưa xác định"
T31,Bỏng phân loại theo diện tích bề mặt cơ thể bị tổn thương
T31.0,Bỏng tổn thương ít hơn 10% bề mặt cơ thể
T31.1,Bỏng tổn thương10-19% bề mặt cơ thể
T31.2,Bỏng tổn thương 20-29% bề mặt cơ thể
T31.3,Bỏng tổn thương 30-39% bề mặt cơ thể
T31.4,Bỏng tổn thương 40-49% bề mặt cơ thể
T31.5,Bỏng tổn thương 50-59% bề mặt cơ thể
T31.6,Bỏng tổn thương 60-69% bề mặt cơ thể
T31.7,Bỏng tổn thương 70-79% bề mặt cơ thể
T31.8,Bỏng tổn thương 80-89% bề mặt cơ thể
T31.9,"Bỏng tổn thương 90% hoặc hơn, bề mặt cơ thể"
T32,Ăn mòn phân loại theo diện tích bề mặt cơ thể bị tổn thương
T32.0,Ăn mòn tổn thương ít hơn 10% bề mặt cơ thể
T32.1,Ăn mòn tổn thương 10-19% bề mặt cơ thể
T32.2,Ăn mòn tổn thương 20-29% bề mặt cơ thể
T32.3,Ăn mòn tổn thương 30-39% bề mặt cơ thể
T32.4,Ăn mòn tổn thương 40-49% bề mặt cơ thể
T32.5,Ăm mòn tổn thương 50-59% bề mặt cơ thể
T32.6,Ăn mòn tổn thương 60-69% bề mặt cơ thể
T32.7,Ăn mòn tổn thương 70-79% bề mặt cơ thể
Y12,"Ngộ độc và phơi nhiễm thuốc mê và thuốc làm hưng phấn tinh thần (sinh hoang tưởng) không xếp loại ở nơi khác, không rõ ý đồ"
Y13,Ngộ độc và phơi nhiễm các thuốc khác tác dụng trên hệ thần kinh tự động không rõ ý đồ
Y14,"Ngộ độc và phơi nhiễm thuốc , dược chất, sinh chất khác không rõ đặc điểm, không rõ ý đồ"
Y15,"Ngộ độc và phơi nhiễm rượu, không rõ ý đồ"
Y16,"Ngộ độc và phơi nhiễm chất dung môi hữu cơ và hologenat carbon và các chất hơi của chúng, không rõ ý đồ"
Y17,"Ngộ độc và phơi nhiễm các khí và hơi khác, không rõ ý đồ"
Y18,"Ngộ độc và phơi nhiễm chất diệt súc vật, không rõ ý đồ"
Y19,"Ngộ độc và phơi nhiễm với hóa chất và chất có hại khác không rõ đặc điểm, không rõ ý đồ"
Y20,"Treo, làm nghẹt, làm ngạt thở, không rõ ý đồ"
Y21,"Ngã xuống nước, ngập nước, không rõ ý đồ"
Y22,Đạn súng tay không rõ ý đồ
Y23,"Đạn súng trường, súng ngắn và súng to hơn không rõ ý đồ"
Y24,"Đạn súng khác và không rõ đặc điểm, không rõ ý đồ"
Y25,"Tiếp xúc chất nổ, không rõ ý đồ"
Y26,"Phơi nhiễm khói, cháy và lửa, không rõ ý đồ"
Y27,"Phơi nhiễm hơi nước, hơi nước nóng và vật nóng, không rõ ý đồ"
Y28,"Tiếp xúc vật nhọn, sắc, không rõ ý đồ"
Y29,"Tiếp xúc vật tù, không rõ ý đồ"
Y30,"Ngã, nhảy hay bị đẩy từ một chỗ cao, không rõ ý đồ"
Y31,"Ngã, nằm hay chạy trước hay chạy vào vật đang chuyển động, không rõ ý đồ"
Y32,Bị mô tô cán không rõ ý đồ
Y33,"Các biến cố khác có biết rõ đặc điểm, không rõ ý đồ"
Y34,"Biến cố không rõ đặc điểm, không rõ ý đồ"
Y35,Can thiệp hợp pháp
Y35.0,Can thiệp hợp pháp liên quan đến đạn súng tay
Y35.1,Can thiệp hợp pháp liên quan đến chất nổ
Y35.2,Can thiệp hợp pháp liên quan đến khí
Y35.3,Can thiệp hợp pháp liên quan vật tầy
Z83.2,Tiền sử gia đình có các bệnh về máu và cơ quan tạo máu và một số rối loạn về cơ chế miễn dịch
Z83.3,Tiền sử gia đình có bệnh đái tháo đường
Z83.4,"Tiền sử gia đình có các bệnh về nội tiết, dinh dưỡng và chuyển hóa"
Z83.5,Tiền sử gia đình có các rối loạn thị giác và thính giác
Z83.6,Tiền sử gia đình có các bệnh hô hấp
Z83.7,Tiền sử gia đình có các bệnh thuộc hệ tiêu hóa
U07.2,COVID-19 nghi ngờ hoặc có thể (chưa có kết quả xét nghiệm khẳng định SARS-CoV-2)
S53.2,Chấn thương đứt dây chằng hai bên xương quay
S53.3,Chấn thương đứt dây chằng hai bên xương trụ
S53.4,Bong gân và căng cơ khủyu tay
S54,Tổn thương dây thần kinh cẳng tay
S54.0,Tổn thương dây thần kinh trụ ở tầm cẳng tay
S54.1,Tổn thương dây thần kinh xương quay ở tầm cẳng tay
S54.2,Tổn thương dây thần kinh xương quay ở tầm cẳng tay
S54.3,Tổn thương dây thần kinh cảm giác da ở tầm cẳng tay
S54.7,Tổn thương đa dây thần kinh ở tầm cẳng tay
S54.8,Tổn thương dây thần kinh khác ở tầm cẳng tay
S54.9,Tổn thương dây thần kinh chưa xác định ở tầm cẳng tay
S55,Tổn thương mạch máu ở tầm cẳng tay
S55.0,Tổn thương động mạch xương trụ ở tầm cẳng tay
S55.1,Tổn thương động mạch xương quay ở tầm cẳng tay
S55.2,Tổn thương đa mạch máu ở tầm cẳng tay
S55.7,Tổn thương đa mạch máu ở tầm cẳng tay
S55.8,Tổn thương mạch máu khác ở tầm cẳng tay
S55.9,Tổn thương mạch máu chưa rõ ở tầm cẳng tay
S56,Tổn thương cơ bắp và gân ở tầm cẳng tay
S56.0,Tổn thương cơ gấp và gân ngón tay cái ở tầm cẳng tay
S56.1,Tổn thương cơ gấp và ngón tay khác ở tầm cẳng tay
S56.2,Tổn thương cơ gấp khác và gân ở tầm cẳng tay
S56.3,Tổn thương cơ duỗi và cơ giạng và gân ngón tay cái ở tầm cẳng tay
S56.4,Tổn thương cơ duỗi và gân ngón khác ở tầm cẳng tay
S56.5,Tổn thương cơ duỗi khác và gân ở tầm cẳng tay
S56.7,Tổn thương đa cơ và gân ở tầm cẳng tay
S56.8,"Tổn thương cơ khác, chưa xác định và gân tầm cẳng tay"
S57,Tổn thương dập nát ở cẳng tay
S57.0,Tổn thương dập nát ở khủyu tay
S57.8,Tổn thương dập nát ở phần khác cẳng tay
S57.9,Tổn thương dập nát ở cẳng tay phần chưa xác định
S58,Chấn thương cắt cụt ở cẳng tay
S58.0,Chấn thương cắt cụt ở tầm khủyu tay
S58.1,Chấn thương cắt cụt ở tầm giữa khủyu và cổ tay
S58.9,"Chấn thương cắt cụt ở cẳng tay, tầm chưa xác định"
S59,Tổn thương khác và chưa xác định của cẳng tay
H35.3,thoái hóa hoàng điểm và cực sau
H35.4,thoái hóa võng mạc ngoại biên
H35.5,Loạn dưỡng võng mạc di truyền
H35.6,Xuất huyết võng mạc
H35.7,Bong các lớp võng mạc
H35.8,Bệnh võng mạc xác định khác
H35.9,"Bệnh võng mạc, không đặc hiệu"
H36,Bệnh võng mạc trong các bệnh phân loại nơi khác
H36*,Bệnh võng mạc trong các bệnh phân loại nơi khác
H36.0*,Bệnh lý võng mạc do đái tháo đường (E10-E14 với ký tự thứ tư chung là .3†)
H36.8*,Bệnh võng mạc khác trong các bệnh phân loại nơi khác
H40,Glôcôm
H40.0,Nghi ngờ glocom
H40.1,Glocom góc mở nguyên phát
H40.2,Glocom góc đóng nguyên phát
H40.3,Glocom thứ phát do chấn thương mắt
H40.4,Glocom thứ phát do viêm mắt
H40.5,Glocom thứ phát do bệnh mắt khác
H40.6,Glocom thứ phát do thuốc
T04.9,"Đa tổn thương dập nát, chưa xác định"
T05,Chấn thương cắt cụt tác động nhiều vùng cơ thể
T05.0,Chấn thương cắt cụt cả hai bàn tay
T05.1,Chấn thương cắt cụt một bàn tay và tay khác (tầm bất kỳ trừ bàn tay)
T05.2,Chấn thương cắt cụt cả hai bàn tay (tầm bất kỳ)
T05.3,Chấn thương cắt cụt cả hai bàn chân
T05.4,Chấn thương cắt cụt một bàn chân và chân khác (tầm bất kỳ trừ bàn chân)
T05.5,Chấn thương cắt cụt cả hai chân (tầm bất kỳ)
T05.6,Chấn thương cắt cụt cả hai chân (tầm bất kỳ)
T05.8,Chấn thương cắt cụt tác động kết hợp khác các vùng cơ thể
