code,description
S12.14,"Trượt đốt sống do chấn thương túyp III, ở đốt sống cổ 2"
S12.15,Trượt đốt sống do chấn thương khác ở đốt sống cổ 2
S12.19,Gẫy khác của đốt sống cổ 2
S12.2,Gẫy đốt sống cổ đặc hiệu khác
S12.20,Gẫy không xác định của đốt sống cổ 3
S50.7,Đa tổn thương nông khác cẳng tay
S50.8,Tổn thương khác cẳng tay
S50.9,"Tổn thương nông cẳng tay, chưa xác định"
S51,Vết thương hở ở cẳng tay
S51.0,Vết thương hở ở khủyu tay
S51.7,Đa vết thương hở ở cẳng tay
S51.8,Vết thương hở ở phần khác của cẳng tay
S52,Gẫy xương ở cẳng tay
S52.0,Gẫy xương đầu trên của xương trụ
S52.1,Gẫy xương đầu trên của xương quay
S52.2,Gẫy thân xương trụ
S52.3,Gẫy thân xương quay
S52.5,Gẫy xương ở đầu thấp và xương quay
S52.6,Gẫy xương đầu dưới cả xương trụ và xương quay
S52.7,Đa gẫy xương cẳng tay
S52.9,"Gẫy xương cẳng tay, phần chưa xác định"
S53,"Sai khớp, bong gân và căng cơ của khớp và dây chằng khủyu tay"
S53.0,Sai khớp đầu xương quay
S53.1,"Sai khớp khủyu, chưa xác định"
S53.2,Chấn thương đứt dây chằng hai bên xương quay
S53.3,Chấn thương đứt dây chằng hai bên xương trụ
S54,Tổn thương dây thần kinh cẳng tay
S54.0,Tổn thương dây thần kinh trụ ở tầm cẳng tay
S54.00,"Chấn thương dây thần kinh xương trụ ở tầm cẳng tay, không xác định bên"
S54.01,"Chấn thương dây thần kinh xương trụ ở tầm cẳng tay, bên phải"
S54.1,Tổn thương dây thần kinh xương quay ở tầm cẳng tay
S54.10,"Chấn thương dây thần kinh giữa ở tầm cẳng tay, không xác định bên"
S54.11,"Chấn thương dây thần kinh giữa ở tầm cẳng tay, bên phải"
V19,"Người đi xe đạp bị thương trong những tai nạn giao thông khác, không rõ đặc điểm"
V19.0,Người lái xe bị thương khi va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải do tai nạn giao thông
V19.1,Hành khách bị thương khi va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải do giao thông
V19.2,Người đi xe đạp không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn không phải xe cộ
V19.3,Mọi người đạp xe bị thương trong tai nạn không phải xe cộ không rõ đặc điểm
V19.5,Người đi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V19.6,Người đạp xe không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V19.8,"Mọi người đạp xe bị thương trong các tai nạn giao thông khác, có đặc điểm rõ"
V19.9,Mọi người đạp xe bị thương trong tai nạn giao thông không rõ đặc điểm
V20,Lái xe mô tô bị thương khi va chạm với người đi bộ hay súc vật
V21,Lái xe mô tô bị thương khi va chạm với xe đạp
V22,Lái xe mô tô bị thương khi va chạm với mô tô 2-3 bánh
V23,"Lái xe mô tô bị thương khi va chạm với ô tô, xe tải thu nhặt hay xe tải"
V24,Lái xe mô tô bị thương khi va chạm với xe tải nặng hay xe buýt
V25,"Lái xe mô tô bị thương khi va chạm với tầu hỏa, phương tiện đi trên ray"
V26,Lái xe mô tô bị thương khi va chạm với xe không động cơ khác
V27,Lái xe mô tô bị thương khi va chạm với vật cố định hay tĩnh vật
V28,Lái xe mô tô bị thương trong tai nạn giao thông không có va chạm
V29,Người lái xe mô tô bị thương trong tai nạn giao thông khác không rõ đặc điểm
V29.0,Lái xe bị thương khi va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải giao thông
V29.2,"Lái xe mô tô không rõ đặc điểm, bị thương khi va chạm với mô tô khác không rõ đặc điểm trong tai nạn không phải giao thông"
V29.3,Mọi lái xe mô tô bị thương trong tai nạn không phải giao thông không rõ đặc điểm
V29.4,Lái xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V29.5,Người ngồi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V29.6,Lái xe mô tô không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V29.8,"Mọi lái xe mô tô bị thương trong các tai nạn giao thông khác, rõ đặc điểm"
V29.9,Mọi lái xe mô tô bị thương trong tai nạn giao thông không rõ đặc điểm
V30,Người đi xe mô tô 3 bánh bị thương khi va chạm với người đi bộ hay súc vật
V31,Người trên xe mô tô 3 bánh bị thương khi va chạm với xe đạp
V32,Người trên xe mô tô 3 bánh bị thương khi va chạm với mô tô 2 hay 3 bánh
U82.8,Kháng kháng sinh họ betalactam khác
U82.9,"Kháng kháng sinh họ betalactam, không đặc hiệu"
U83,Kháng các kháng sinh khác
U83.2,Kháng nhóm quinolon
U83.7,Kháng đa kháng sinh
U83.8,"Kháng một loại kháng sinh xác định, khác"
U83.9,Kháng kháng sinh không xác định
U84,Kháng các thuốc kháng sinh khác
U84.1,Kháng (các) thuốc chống nấm
U84.2,Kháng (các) thuốc diệt virus
U84.7,Kháng đa thuốc kháng vi sinh vật
U84.8,Kháng thuốc kháng vi sinh vật xác định khác
Z98.0,Tình trạng nối tắt ruột và nối ruột
Z98.1,Tình trạng đóng cứng khớp
Z98.2,Sự có mặt dụng cụ dẫn lưu dịch não tủy
Z98.8,Các tình trạng hậu phẫu xác định khác
Y30,"Ngã, nhảy hay bị đẩy từ một chỗ cao, không rõ ý đồ"
Y31,"Ngã, nằm hay chạy trước hay chạy vào vật đang chuyển động, không rõ ý đồ"
Y33,"Các biến cố khác có biết rõ đặc điểm, không rõ ý đồ"
Y34,"Biến cố không rõ đặc điểm, không rõ ý đồ"
Y35,Can thiệp hợp pháp
Y35.0,Can thiệp hợp pháp liên quan đến đạn súng tay
Y35.2,Can thiệp hợp pháp liên quan đến khí
Y35.3,Can thiệp hợp pháp liên quan vật tầy
Y35.4,Can thiệp hợp pháp liên quan vật sắc nhọn
Y35.5,Hành hình hợp pháp
Y35.7,"Can thiệp hợp pháp, không biết rõ biện pháp"
Y36,Hành động trong chiến tranh
Y36.0,Hoạt động chiến tranh do hỏa khí của lính thủy gây ra
Y36.1,Hoạt động chiến tranh liên quan đến phá hủy phương tiện bay
Y36.2,Hoạt động chiến tranh liên quan đến chất nổ và bom khác
Y36.3,"Hành động chiến tranh liên quan cháy, cháy to và chất nóng"
Y36.4,Hành động chiến tranh liên quan đạn súng tay và các loại thông thường khác trong chiến tranh
Y36.6,Hoạt động chiến tranh liên quan vũ khí sinh học
Y36.7,Hoạt động chiến tranh liên quan đến vũ khí hóa học và các vũ khí khác không theo qui ước chiến tranh
Y36.8,Hoạt động chiến tranh xẩy ra sau khi đã ngừng hận thù
Y36.9,"Chiến tranh, không rõ đặc điểm"
Y40,Kháng sinh toàn thân
Y40.1,Cefalosporin và các KS β - lactam khác
Y40.2,Nhóm chloramphenicol
Y40.4,Tetracyclin
Y40.5,Aminoglycosid
Y40.7,KS chống nấm dùng đường toàn thân
Y40.8,Các KS dùng đường toàn thân khác
Y41,"Các loại kháng khuẩn và ký sinh vật, đường toàn thân"
Y41.0,Sulfonamid
Y41.1,Thuốc chống mycobacter
Y41.2,Chống sốt rét và thuốc tác dụng trên đơn bào khác trong máu
Y41.4,Thuốc giun
Y41.5,Thuốc kháng virus
S04.1,Tổn thương dây thần kinh vận nhãn
S04.2,Tổn thương dây thần kinh ròng rọc
S04.4,Tổn thương dây thần kinh
S04.5,Tổn thương dây thần kinh thính giác
S04.6,Tổn thương dây thần kinh thính giác
S04.7,Tổn thương dây thần kinh phụ
S04.9,Tổn thương dây thần kinh sọ không xác định
S05,Tổn thương mắt và ổ mắt
S05.0,Tổn thương kết mạc và xước giác mạc không có dị vật
S05.1,Đụng giập nhãn cầu và tổ chức hố mắt
S05.3,Rách xé nhãn cầu không có sa hay mất tổ chức trong nhãn cầu
S05.4,Vết thương thấu nhãn cầu có hay không có dị vật
S05.5,Vết thương thấu nhãn cầu có dị vật
S05.6,Vết thương thấu nhãn cầu không có dị vật
S05.7,Nhổ giật mắt
S05.8,Các tổn thương khác của mắt và ổ mắt
S06,Tổn thương nội sọ
S06.0,Chấn động
S06.1,Phù não chấn thương
S06.2,Tổn thương não lan toả
S06.3,Tổn thương ổ của não
S06.5,Chảy máu dưới màng cứng
S06.6,Chảy máu dưới màng nhện chấn thương
S06.7,Tổn thương nội sọ có hôn mê kéo dài
S06.9,Tổn thương nội sọ không đặc hiệu
S07,Tổn thương vùi lấp của đầu
S07.0,Tổn thương vùi lấp của mặt
S07.8,Tổn thương vì lấp của các phần khác của đầu
S07.9,"Tổn thương vùi lấp của đầu, các phần không xác định"
S08,Cắt cụt phần của đầu do chấn thương
S08.0,Nhổ giật da đầu
S08.8,Cắt cụt các phần khác của đầu do chấn thương của
S08.9,Cắt cụt của phần không xác định của đầu do chấn thương
S09,Tổn thương khác và không đặc hiệu của đầu
S09.0,"Tổn thương các mạch máu của đầu, không xếp hạng nơi khác"
S09.1,Tổn thương cơ và gân của đầu
S09.2,Rách chấn thương màng nhĩ
S09.7,Tổn thương phức tạp của đầu
S09.8,Tổn thương đặc hiệu khác của đầu
S09.9,Tổn thương không đặc hiệu của đầu
S10,Tổn thương nông của cổ
S10.0,Đụng giập họng
S10.1,Tổn thương nông không đặc hiệu và khác của họng
S10.10,Chấn thương nông của họng không đặc hiệu
S10.11,Trầy xướt họng
S10.12,Bỏng dộp ở họng (không do nhiệt độ)
S10.15,Dị vật nông ở họng
S10.16,"Bị côn trùng cắn, đốt ở họng"
S10.17,"Vết cắn, đốt nông ở họng"
S10.7,Đa tổn thương nông của cổ
S40.7,Vết thương nông phức tạp của vai và cánh tay
S40.8,Vết thương nông khác của vai và cánh tay
S40.9,"Vết thương nông của vai và cánh tay, không đặc hiệu"
S41,Vết thương hở của vai và cánh tay
S41.1,Vết thương hở của cánh tay
T45.9,Ngộ độc Thuốc dùng chủ yếu toàn thân và huyết học chưa xác định
T46.0,Ngộ độc Glycosid kích thích tim và thuốc tác dụng tương tự
T46.1,Ngộ độc thuốc Chẹn calci
T46.2,"Ngộ độc Thuốc chống loạn nhịp khác, không xếp loại ở phần nào"
T46.3,"Ngộ độc Thuốc giãn động mạch vành, không xếp loại ở nơi khác"
T46.4,Ngộ độc thuốc Ức chế men chuyển đổi angiotensin
T46.6,Ngộ độc Thuốc hạ lipid máu và chống xơ cứng động mạch
T46.7,Ngộ độc thuốc Giãn động mạch ngoại vi
T46.8,"Ngộ độc Thuốc chống giãn tĩnh mạch, kể cả thuốc xơ cứng"
T46.9,Ngộ độc Thuốc tác động chủ yếu hệ thống tim mạch khác và chưa xác định
T47,Ngộ độc do thuốc tác động chủ yếu trên hệ thống tiêu hóa
T47.0,Ngộ độc Chất đối kháng thụ cảm Histamin H2
T47.1,Ngộ độc Thuốc chống acid và chống tiết dịch vị khác
T47.3,Ngộ độc thuốc Nhuận tràng thẩm thấu và muối
T47.4,Ngộ độc thuốc Nhuận tràng khác
T47.5,Ngộ độc thuốc Lợi tiêu hóa
T47.6,Ngộ độc Thuốc chống ỉa chảy
T47.7,Ngộ độc Chất gây nôn
T47.9,"Ngộ độc Thuốc tác động chủ yếu trên hệ thống tiêu hóa, chưa xác định"
T48,Ngộ độc thuốc tác động chủ yếu trên cơ trơn và cơ xương và hệ thống hô hấp
T48.0,Ngộ độc Thuốc trợ đẻ
T48.1,Ngộ độc Thuốc dãn cơ (thuốc ức chế thần kinh cơ)
T48.2,Ngộ độc Thuốc chủ yếu tác động trên cơ khác và chưa xác định
T48.3,Ngộ độc thuốc Chống ho
T48.4,Ngộ độc thuốc Long đờm
T48.5,Ngộ độc Thuốc chống cảm lạnh
T48.6,"Ngộ độc Thuốc trị hen, không xếp loại phần nào"
T48.7,Ngộ độc Thuốc tác động chủ yếu trên hệ hô hấp khác và chưa xác định
T49,"Ngộ độc thuốc dùng tại chỗ tác động chủ yếu trên da và niêm mạc và do thuốc dùng chữa mắt, tai và răng"
T49.0,"Ngộ độc Thuốc chống nấm, chống nhiễm trùng, chống viêm tại chỗ không xếp loại ở phần nào"
T49.1,Ngộ độc Thuốc chống ngứa
T49.2,Ngộ độc Thuốc làm săn da tại chỗ và thuốc sát trùng tại chỗ
T49.3,"Ngộ độc Thuốc làm mềm da, làm dịu da và bảo vệ da"
T49.4,"Ngộ độc Thuốc làm tróc lớp sừng, tạo hình lớp sừng và thuốc và các chế phẩm điều trị tóc khác"
T49.5,Ngộ độc Thuốc và chế phẩm điều trị mắt
T49.6,"Ngộ độc Thuốc và chế phẩm điều trị tai, mũi, họng"
S12.24,"Trượt đốt sống do chấn thương týp III, ở đốt sống cổ 3"
S12.29,Gẫy khác ở đốt sống cổ 3
S12.30,Gẫy không xác định của đốt sống cổ 4
S12.33,"Trượt đốt sống do chấn thương, không xác định, ở đốt sống cổ 4"
S12.34,"Trượt đốt sống do chấn thương týp III, ở đốt sống cổ 4"
S12.35,Trượt đốt sống do chấn thương khác ở đốt sống cổ 4
S12.39,Gẫy khác ở đốt sống cổ 4
V33,"Người trên xe mô tô 3 bánh bị thương khi va chạm với ô tô, xe tải thu nhặt và xe tải"
V34,Người trên xe mô tô 3 bánh bị thương khi va chạm với xe tải nặng hay xe buýt
V35,Người trên xe mô tô 3 bánh bị thương khi va chạm với tầu hỏa hay phương tiện đi trên ray
V36,Người trên xe mô tô 3 bánh bị thương khi va chạm với xe có động cơ khác
V37,Người trên xe mô tô 3 bánh bị thương khi va chạm với vật cố định hay tĩnh vật
V38,Người trên xe mô tô 3 bánh bị thương trong tai nạn giao thông không có va chạm
V39,Người trên xe mô tô 3 bánh bị thương trong tai nạn giao thông khác không rõ đặc điểm
V39.0,Lái xe bị thương khi va chạm với xe có động cơ không rõ đặc điểm khác trong tai nạn không phải do giao thông
V39.1,Người trên xe bị thương khi va chạm với xe có động cơ không rõ đặc điểm khác trong tai nạn không phải giao thông
V39.2,Người ở trên mô tô 3 bánh không rõ đặc điểm bị thương khi va chạm với xe có động cơ không rõ đặc điểm khác trong tai nạn không phải giao thông
V39.3,"Mọi người trên xe mô tô 3 bánh bị thương trong tai nạn không rõ đặc điểm, không phải tai nạn giao thông"
V39.4,Lái xe bị thương khi va chạm với xe có động cơ không rõ đặc điểm khác trong tai nạn giao thông
V39.5,Người đi xe bị thương khi va chạm với xe có động cơ không rõ đặc điểm khác trong tai nạn giao thông
V39.6,Người trên xe mô tô 3 bánh bị thương khi va chạm với xe động cơ không rõ đặc điểm khác trong tai nạn giao thông
V39.8,Mọi người trên xe mô tô 3 bánh bị thương trong tai nạn giao thông khác có biết rõ đặc điểm
V39.9,Mọi người trên xe mô tô 3 bánh bị thương trong tai nạn giao thông không rõ đặc điểm
V40,Người trên ô tô bị thương khi va chạm với người đi bộ hay súc vật
V41,Người đi ô tô bị thương khi va chạm với xe đạp
V42,Người đi ô tô bị thương khi va chạm với mô tô 2 hay 3 bánh
V43,"Người đi ô tô bị thương khi va chạm với xe ô tô, xe tải thu nhặt và xe tải"
V44,Người đi ô tô bị thương khi va chạm với xe tải nặng hay xe buýt
V45,Người đi ô tô bị thương khi va chạm với tầu hỏa hay phương tiện đi trên ray
V46,Người đi ô tô bị thương khi va chạm với xe không động cơ khác
V47,Người đi ô tô bị thương khi va chạm với vật cố định hay tĩnh vật
V48,Người đi ô tô bị thương trong tai nạn giao thông không có va chạm
V49,Người đi ô tô bị thương trong tai nạn giao thông khác và không rõ đặc điểm
V49.0,Lái xe bị thương trong va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải tai nạn giao thông
V49.1,Người đi ô tô bị thương do va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn không phải tai nạn giao thông
V49.2,Người đi ô tô không rõ đặc điểm -bị thương do va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn không phải tai nạn giao thông
Y41.8,"Các thuốc đường toàn thân chống nhiễm khuẩn và ký sinh vật khác, có biết rõ đặc điểm"
Y41.9,Thuốc đường toàn thân chống nhiễm khuẩn và ký sinh vật không rõ đặc điểm
Y42,"Nội tiết tố và các chế phẩm tổng hợp của nó và thuốc đối kháng, không được xếp loại ở chỗ khác"
Y42.0,Glucocorticoid và chất tổng hợp
Y42.1,Hormon giáp trạng và chể phẩm
Y42.2,Thuốc kháng giáp trạng
Y42.3,Insulin và thuốc hạ đường huyết đường uống (chống đái tháo đường)
Y42.4,chống thụ thai thuốc đường uống
Y42.5,Các thuốc estrogen và progestogen khác
Y42.6,"Kháng gonadotrophin, kháng estrogen, kháng androgen không được xếp loại ở nơi khác"
Y42.7,Androgen và các chất dị hóa
Y42.8,"Các hormon khác, không rõ đặc điểm và các chất thay thế tổng hợp của chúng"
Y42.9,Các loại chống nội tiết tố khác và không rõ đặc điểm
Y43,Chất tác dụng toàn thân trước tiên
Y43.1,Chống chuyển hóa chống sinh u
Y43.2,Sản phẩm thiên nhiên chống sinh u
Y43.3,Thuốc chống sinh u khác
Y43.4,Chất làm giảm miễn dịch
Y43.5,Chất làm toan hóa và kiềm hóa
Y43.6,"Men, không được xếp loại ở nơi khác"
Z37.1,"Sinh một con, trẻ chết khi sinh"
Z37.2,"Sinh đôi, sống cả hai trẻ"
Z37.3,"Sinh đôi, một trẻ sinh ra sống, một trẻ chết khi sinh"
Z37.4,"Sinh đôi, cả hai chết khi sinh"
Z37.6,"Sinh nhiều con, trong đó một số trẻ sinh ra sống"
Z37.7,"Sinh nhiều con, tất cả chết khi sinh"
Z37.9,"Chuyển dạ đẻ, không đặc hiệu"
Z38,Trẻ sinh ra sống (theo nơi sinh)
Z38.1,Trẻ sinh đơn ngoài bệnh viện
Z38.2,"Trẻ sinh đơn, nơi sinh không xác định"
Z38.3,Trẻ sinh đôi tại bệnh viện
Z38.4,"Sinh đôi, ngoài bệnh viện"
Z38.6,"Sinh nhiều con, sinh tại bệnh viện"
Z38.7,"Sinh nhiều con, ngoài bệnh viện"
Z38.8,"Sinh nhiều con, nơi sinh không xác định"
Z39,Chăm sóc và thăm khám sau đẻ
Z39.1,Chăm sóc và khám các bà mẹ cho con bú
Z39.2,Theo dõi thường quy sau đẻ
Z40,Phẫu thuật dự phòng
Z40.8,Phẫu thuật dự phòng khác
Z40.9,"Phẫu thuật dự phòng, không đặc hiệu"
Z41,Các thủ thuật vì những mục đích khác không phải phục hồi sức khỏe
Z41.0,Cấy tóc
Z41.1,Phẫu thuật tạo hình do vẻ bên ngoài xấu
Z41.2,Cắt bao qui đầu theo tập tục và thường quy
Z41.3,Bấm lỗ tai
Z41.8,Các thủ thuật khác vì các mục đích khác không phải phục hồi sức khỏe
Z42,Chăm sóc theo dõi liên quan phẫu thuật tạo hình
Z42.0,Chăm sóc theo dõi phẫu thuật tạo hình vùng đầu và cổ
S41.7,Vết thương hở phức tạp của vai và cánh tay
S41.8,Vết thương hở của các phần không xác định và khác của vòng ngực
S42.0,Gẫy xương đòn
S42.1,Gẫy xương vai
S42.2,Gẫy phần trên xương cánh tay
S42.3,Gẫy thân xương cánh tay
S42.7,"Gẫy phức tạp xương đòn, xương vai và xương cánh tay"
S42.8,Gẫy các phần khác của xương vai và xương cánh tay
S42.9,"Gẫy xương của vòng ngực, phần không xác định"
S43.0,Sai khớp vai
S43.1,Sai khớp mỏm cùng vai-đòn
S43.2,Sai khớp ức-đòn
S43.3,Sai khớp các phần không xác định và các phần khác của vòng ngực
S43.4,Bong gân và giãn khớp của vai
S43.5,Bong gân và giãn khớp mỏm cùng vai -đòn
S43.6,Bong gân và giãn khớp của các phần khác và không xác định của vòng ngực
S44,Vết thương dây thần kinh tại vai và cánh tay trên
S44.0,Vết thương dây thần kinh tại vai và cánh tay trên
S44.1,Vết thương dây thần kinh giữa tại cánh tay trên
S44.2,Vết thương dây thân kinh quay tại cánh tay trên
S44.3,Vết thương dây thần kinh hố nách
S44.4,Vết thương dây thần kinh cơ-da
S44.5,Vết thương dây thần kinh cảm giác-da tai vai và cánh tay trên
S44.8,Vết thương các dây thần kinh khác tại vai và cánh tay trên
S44.9,Vết thương dây thần kinh không xác định tại vai và cánh tay trên
S45,Vết thương mạch máu tại vai cánh tay trên
S45.0,Vết thương động mạch nách
S45.1,Vết thương động mạch cánh tay
S45.2,Vết thương tĩnh mạch nách hay cánh tay
S45.7,Vết thương nhiều mạch máu tại vai và cánh tay trên
S45.8,Vết thương các mạch máu khác tại vai và cánh tay trên
S45.9,Vết thương mạch máu không xác định tại vai và cánh tay trên
S46,Vết thương cơ và gân tại vai và cánh tay trên
S46.0,Tổn thương của các cơ và gân dải quay của vai
S46.2,Vết thương cơ và gân của các phần khác của cơ nhị đầu
S46.3,Vết thương cơ và gân cơ tam đầu
S46.7,Vết thương nhiều cơ và gân tại vai và cánh tay trên
S46.8,Vết thương các cơ và gân khác tại vai và cánh tay trên
S46.9,Vết thương cơ và gân không xác định tại vai và cánh tay trên
S47,Tổn thương giập nát vai và cánh tay trên
S48,Chấn thương cắt cụt vai và cánh tay trên
S48.0,Chấn thương cắt cụt khớp vai
S48.1,Chấn thương cát cụt tại giữa vai và khủyu
S48.9,"Chấn thương cắt cụt ở vai và cánh tay trên, tầm chưa xác định"
S49,Tổn thương khác và chưa xác định ở vai và cánh tay trên
S49.7,Đa tổn thương ở vai và cánh tay trên
S49.8,Tổn thương xác định khác ở vai và cánh tay trên
K59.9,"Rối loạn ruột chức năng, không đặc hiệu"
K60,rò vùng hậu môn và trực tràng
K60.0,Nứt kẽ hậu môn cấp
K60.2,"Nứt ống hậu môn, không đặc hiệu"
K60.3,Rò hậu môn
K60.5,Rò hậu môn trực tràng
K61,áp xe vùng hậu môn - trực tràng
K61.0,áp xe hậu môn
K61.2,áp xe hậu môn trực tràng
K61.3,áp xe ụ ngồi - trực tràng
K62,Bệnh khác của hậu môn và trực tràng
K62.0,Polip hậu môn
K62.1,Polip trực tràng
K62.2,Sa hậu môn
K62.4,Hẹp trực tràng và ống hậu môn
K62.5,Xuất huyết hậu môn và trực tràng
K62.7,Viêm trực tràng do tia xạ
K62.8,Bệnh đặc hiệu khác của hậu môn và trực tràng
K62.9,"Bệnh hậu môn và trực tràng, không đặc hiệu"
K63.0,áp xe ruột
K63.1,Thủng ruột (không có chấn thương)
K63.2,Rò ruột
K63.4,Sa ruột
K63.8,Bệnh đặc hiệu khác của ruột
K65,Viêm phúc mạc
K65.0,Viêm phúc mạc cấp
K65.8,Viêm phúc mạc khác
K66,Rối loạn khác của phúc mạc
K66.0,Dính phúc mạc
K66.1,Cổ trướng máu
L50.4,mày đay do rung động
L50.5,Mày đay do Cholin
L50.6,Mày đay tiếp xúc
L50.8,Mày đay khác
L50.9,"Mày đay, không điển hình"
L51.0,Hồng ban đa dạng không có bọng nước
L51.1,Hồng ban đa dạng có bọng nước
L51.8,Hồng ban đa dạng khác
L51.9,"Hồng ban đa dạng, không điển hình"
L53,Các trạng thái hồng ban khác
L53.0,Hồng ban do nhiễm độc
L53.1,Hồng ban hình nhẫn
L53.2,Hồng ban hình bản đồ
L53.3,Hồng ban mãn tính khác
L53.8,Các tình trạng hồng ban đặc hiệu khác
L53.9,Các tình trạng hồng ban không điển hình
L54*,Hồng ban trong các bệnh đã phân loại ở phần khác
L54.8*,Hồng ban trong các bệnh đã phân loại ở phần khác
L55,Bỏng nắng
L55.0,Bỏng nắng độ một
L55.1,Bỏng nắng độ hai
L55.2,Bỏng nắng độ ba
L55.8,Bỏng nắng khác
L56,Biến đổi da cấp tính khác do bức xạ tia cực tím
L56.0,Nhiễm độc ánh sáng do thuốc
L56.1,Dị ứng ánh sáng do thuốc
L56.3,Mày đay do ánh nắng
L56.4,Phát ban đa dạng do ánh sáng
L56.8,Biến đổi da cấp tính đặc hiệu khác do tia cực tím
L56.9,"Biến đổi da cấp tính do tia cực tím, không điển hình"
L57,Bệnh da do tiếp xúc lâu dài với bức xạ không ion hóa
L57.0,Dày sừng ánh sáng
V49.3,Mọi người đi ô tô bị thương trong tai nạn không rõ đặc điểm không phải tai nạn giao thông
V49.4,Lái xe bị thương vì va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V49.5,Người đi ô tô bị thương vì va chạm với xe động cơ khác không rõ đặc điểm trong tai nạn giao thông
V49.6,Người trên ô tô không rõ đặc điểm bị thương vì va chạm với xe có động cơ không rõ đặc điểm khác trong trong tai nạn không phải tai nạn giao thông
V49.8,"Mọi người trên ô tô bị thương trong tai nạn giao thông khác, có biết đặc điểm"
V49.9,Mọi người trên ô tô bị thương trong tai nạn giao thông không rõ đặc điểm
V50,"Người trên xe tải, xe kéo bị thương do va chạm với người đi bộ hay súc vật"
V51,"Người trên xe tải, xe kéo bị thương do va chạm với xe đạp"
V52,"Người trên xe tải, xe kéo bị thương do va chạm với mô tô 2 hay 3 bánh"
V53,"Người trên xe tải, xe kéo bị thương do va chạm với ô tô,tải, xe kéo"
V54,"Người trên xe tải, xe kéo bị thương do va chạm với xe tải nặng hay xe buýt"
V55,"Người trên xe tải, xe kéo bị thương do va chạm với tầu hỏa, phương tiện đi trên ray"
V56,"Người trên xe tải, xe kéo bị thương do va chạm với xe không động cơ khác"
V57,"Người trên xe tải, xe kéo bị thương do va chạm với vật cố định hay tĩnh vật"
Y84.6,Tai biến do thông tiểu [thông đái]
J31.1,Viêm mũi họng mãn tính
V58,"Người trên xe tải, xe kéo bị thương trong tai nạn giao thông không có va chạm"
V59,"Người trên xe tải, xe kéo bị thương trong tai nạn giao thông khác không rõ đặc điểm"
V59.0,Lái xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm không phải trong tai nạn giao thông
V59.1,Người đi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn không phải tai nạn giao thông
V59.2,"Người của xe tải, xe kéo không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn không phải tai nạn giao thông"
V59.3,"Mọi người trên xe tải, xe kéo bị thương trong tai nạn không rõ đặc điểm, không phải tai nạn giao thông"
V59.4,Lái xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V59.5,Người đi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông
V59.6,"Người của xe tải, xe kéo không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông"
V59.8,"Mọi người trên xe tải, xe kéo bị thương trong tai nạn giao thông khác có biết đặc điểm"
V59.9,"Mọi người trên xe tải, xe kéo bị thương trong tai nạn giao thông không rõ đặc điểm"
V60,Người trên xe tải nặng bị thương khi va chạm với người đi bộ hay súc vật
V61,Người trên xe tải nặng bị thương khi va chạm với xe đạp
Z42.1,Chăm sóc theo dõi phẫu thuật tạo hình vú
Z42.2,Chăm sóc theo dõi phẫu thuật tạo hình các phần khác của thân mình
Z42.3,Chăm sóc theo dõi phẫu thuật tạo hình chi trên
Z42.4,Chăm sóc theo dõi phẫu thuật tạo hình chi dưới
Z42.8,Chăm sóc theo dõi phẫu thuật tạo hình các phần khác của cơ thể
Z42.9,Chăm sóc theo dõi phẫu thuật tạo hình không đặc hiệu
Z43.0,Chăm sóc lỗ mở khí quản
Z43.1,Chăm sóc lỗ mở thông dạ dày
Z43.2,Chăm sóc lỗ mở thông hồi tràng
Z43.4,Chăm sóc các lỗ mở nhân tạo khác của đường tiêu hóa
Z43.5,Chăm sóc lỗ mở thông bàng quang
Z43.6,Chăm sóc các lỗ mở nhân tạo khác của đường tiết niệu
Z43.7,Chăm sóc âm đạo nhân tạo
Z43.8,Chăm sóc các lỗ mở nhân tạo khác
Z44,Lắp ráp và điều chỉnh các dụng cụ chỉnh hình bên ngoài
Z44.0,Lắp ráp và điều chỉnh tay giả (toàn bộ) (một phần)
